metric,V1
friday_dinner_onsite,12
saturday_breakfast_onsite,12
saturday_lunch_onsite,30
saturday_dinner_onsite,30
sunday_breakfast_onsite,30
sunday_dinner_onsite,10
monday_breakfast_onsite,10
friday_dinner_offsite,3
saturday_lunch_offsite,11
saturday_dinner_offsite,11
sunday_lunch_wedding,46
total_friday_dinner,15
total_saturday_breakfast,12
total_saturday_lunch,41
total_saturday_dinner,41
total_sunday_breakfast,30
total_sunday_lunch,46
total_sunday_dinner,10
total_monday_breakfast,10
vegetarian_count,11
special_diet_count,14
